кат;назва;наявність;код;опт;роздріб
Готовые поводки;            CZ Snelled Hook, Carp, №8 (Поводок с крючком на Карпа);;CZ5791;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Feeder, №10 (Фидерный поводок с крючком);;CZ5692;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Feeder, №12 (Фидерный поводок с крючком);;CZ5708;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Feeder, №4  (Фидерный поводок с крючком);30,000;CZ5661;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Feeder, №6  (Фидерный поводок с крючком);16,000;CZ5678;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Feeder, №8  (Фидерный поводок с крючком);2,000;CZ5685;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Match, №10 (Поводок с крючком- Матч);;CZ5715;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Match, №12 (Поводок с крючком- Матч);;CZ5722;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Match, №14 (Поводок с крючком- Матч);;CZ5739;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Match, №16 (Поводок с крючком- Матч);13,000;CZ5746;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Match, №18 (Поводок с крючком- Матч);26,000;CZ5753;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Worm, №1 (Поводок с крючком при ловли на червя);20,000;CZ5821;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Worm, №1/0(Поводок с крючком при ловли на червя);30,000;CZ5814;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Worm, №2 (Поводок с крючком при ловли на червя);12,000;CZ5838;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Worm, №4 (Поводок с крючком при ловли на червя);;CZ5845;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Worm, №6 (Поводок с крючком при ловли на червя);;CZ5852;0,53 EUR;22,26
Готовые поводки;            Pole Rig 1, float: 1,5gr; line: 8m 0,16mm(Готовая поплавочная снасть);5,000;CZ2188;0,98 EUR;41,16
Готовые поводки;            Pole Rig 2, float: 1,5gr; line: 8m 0,16mm(Готовая поплавочная снасть);15,000;CZ2195;0,98 EUR;41,16
Готовые поводки;            Pole Rig 3, float: 2,0gr; line: 8m 0,16mm(Готовая поплавочная снасть);25,000;CZ2201;0,98 EUR;41,16
Готовые поводки;            Pole rig Chop, 1,5g   (Поплавочная снасть);;CZ2844;0,74 EUR;31,08
